Q craft,https://apps.apple.com/us/app/q-craft/id1091477665,,,,"◆◇◆Ｑクラフターから全人類への挑戦◆◇◆あなたはＱをつくることが出来ますか？Ｑクラフトで挑戦してください。オリジナルのＱを世界に公開しましょう！◆◇遊び方◇◆Ｑの問題を自由に作ることが出来ます。作った問題を遊べます。あなたがクリア出来た問題は世界に公開できます。公開した問題はＱからも遊べます。つまり全てのＱプレイヤーがあなたのＱに挑戦します。◆◇楽しみ方◇◆【その１】Ｑは他人のプレイを見るのがとても楽しい。それが自分のつくったＱであればさらに面白い。友達や家族同士で問題を持ち寄り遊んでみましょう。【その２】よくできたＱだけが面白いわけではない。自動的にクリアできるのもＱパーツを使って絵を表現するのもＱ自由な発想で世界を驚かすＱを作ってみましょう。【その３】あなたの作ったＱを何人のプレイヤーが解いたのか見ることができます。世界中で解いた人が作者のあなただけ！そんな激ムズＱを作ってみるのも面白いかもしれません。
","liica,Inc.",84 MB,English,4+,Free,30-Sep-19,https://is4-ssl.mzstatic.com/image/thumb/Purple113/v4/d4/fb/23/d4fb2343-9a25-7e64-849a-c5e204db3e68/AppIcon-0-1x_U007emarketing-0-85-220-0-9.png/230x0w.png,,Games
Q FlashCards,https://apps.apple.com/us/app/q-flashcards/id1479293151,,,,"回答を選択肢から選ぶFlashcardです。
基本的には小学校入学前のお受験対策のために覚えておきたい問題を登録していきます。

",Jiro Iwamoto,40 MB,English,4+,Free,3-May-20,https://is2-ssl.mzstatic.com/image/thumb/Purple113/v4/25/03/a2/2503a222-1f59-888a-85f1-94beaf94b9c7/AppIcon-1x_U007emarketing-0-7-0-85-220.png/230x0w.png,,Education
Q Fun,https://apps.apple.com/us/app/q-fun/id1485529842,,,,"Q Fun is a simple fun game where monkey peeks out from random doors. Objective is to hit the monkey before it disappears
behind the door. Every successful hit increases the score by 1.

Have fun and try to have maximum score you can have.

You do not need any login or signup, just open the app, play and have fun :)

",Quadrish,11.6 MB,English,4+,Free,,https://is1-ssl.mzstatic.com/image/thumb/Purple113/v4/5d/c0/65/5dc065f0-7740-63a4-9aa4-081ca31e029c/AppIcon-0-1x_U007emarketing-0-0-GLES2_U002c0-512MB-sRGB-0-0-0-85-220-0-0-0-7.png/230x0w.png,,Games
Q Jumping,https://apps.apple.com/us/app/q-jumping/id1391591283,4.3,4,Best kawaii jumping game!,"Can you get all the cute cats,bears and bunnys from the shop? 
There are so many cute pets are waiting for you!
How high can you jump?
There are so many cookies, desserts and delicious foods are waiting for you!
So easy to controll your pet to do single jump or double jump just by tapping the screen once or twice.

** SUPER COOL GRAPHICS ***
** FUNKY SOUNDS ***
**CUTE PETS***
**DIFFERENT PET ABILITIES***
**A LARGE NUMBER OF PET DECORATIONS***
**MASTER LEADERBOARD***
**DAILY SURPRISE***
** FUN GAME PLAY ***
** KIDS LIKE ***
** SUITABLE FOR ALL AGES **

Q Jumping! Go as high as possible.


      more
    
","Shanghai Dreamstone Network Technology Co., Ltd.",210.8 MB,"English, Chinese, Simplified Chinese",4+,Free,7-Jun-20,https://is1-ssl.mzstatic.com/image/thumb/Purple123/v4/a4/e8/45/a4e845e7-9258-f075-f52a-f4a68fdbeceb/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/230x0w.png,Yes,Games
Q Masters: Path to Glory,https://apps.apple.com/us/app/q-masters-path-to-glory/id1481184092,,,The Epic Sales & PM Experience,"Interact, collaborate and compete with others all over the world. Gain recognition, multiple of rewards and prove you are among the best. 

 

Join the brave leaders! Q Masters: Path to Glory is a revolutionary Sales and Partner Management experience. 

 

Real-time performance, competitions, rankings, different factions based on role, knowledge sharing and much more await you.

 

Don’t get left behind! 



      more
    
",Quandoo GmbH,568.8 MB,"English, German, Italian",17+,Free,,https://is1-ssl.mzstatic.com/image/thumb/Purple123/v4/10/8c/40/108c401a-42c2-a6bd-668c-b13b71adc50a/AppIcon-0-0-1x_U007emarketing-0-0-0-8-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/230x0w.png,,Games
Q Mine Sweep Deluxe - Great Classic Puzzle Game,https://apps.apple.com/us/app/q-mine-sweep-deluxe-great-classic-puzzle-game/id1172200045,,,,"This is the advanced version of Minesweeper game, this version has hundreds of levels.Use long press to flags.To reduce the difficulty there is a radar for you to automatically detect the safe area, but you need to consume the ""coins"" in the game.Just have fun!
",jianfeng yao,10.4 MB,English,4+,Free,,https://is5-ssl.mzstatic.com/image/thumb/Purple71/v4/26/f4/05/26f40513-cd91-b883-2c06-b7f28159b53a/pr_source.jpg/230x0w.jpg,,Games
Q Runner,https://apps.apple.com/us/app/q-runner/id1478703237,,,,"1. The player start running in a cave.
2. Huddles and powers come along in the cave.
3. Jump over the huddles, avoid to collide with box.
4. Grab the powers, collect the coins and make highscores.
5. You can swipe left, right, up and down for character movement.

",Quadrish,116.1 MB,English,4+,Free,,https://is5-ssl.mzstatic.com/image/thumb/Purple123/v4/66/69/f3/6669f38d-7965-468d-3721-9c144607e27f/AppIcon-0-1x_U007emarketing-0-0-GLES2_U002c0-512MB-sRGB-0-0-0-85-220-0-0-0-7.png/230x0w.png,,Games
Q&A BPOL,https://apps.apple.com/us/app/q-a-bpol/id991789414,,,,"Q¿A BPOL ist eine Lern-App für Smartphones, die ausgewählten Nutzern der Bundespolizeidirektion Flughafen Frankfurt/Main zur Verfügung gestellt wird.

Das Lernspiel beruht auf dem gängigen Quiz-Prinzip wie bei „Wer wird Millionär“ und „Quizduell“. Die Lernenden beantworten Fragen aus unterschiedlichen Themen - von Luftsicherheit über Grenzpolizei bis hin zu Verwaltungs-,Organisations- und Fun-Fragen. Mit der App können Lernende ihr Wissen allein oder im Duell testen.

Ziel ist es mit der App selbstgesteuertes Lernen, an jedem Ort, zu jeder Zeit sowie eine Steigerung des Wissens in spielerischer Form zu fördern. Für die Lernenden gilt es im Wettbewerb mit Anderen ein möglichst hohes Ranking zu erreichen; so simpel wie fesselnd.


      more
    
",benntec Systemtechnik GmbH,20.5 MB,English,17+,Free,11-Jan-19,https://is1-ssl.mzstatic.com/image/thumb/Purple128/v4/c8/fd/a4/c8fda49d-cbc4-e868-1231-f5cda272f6d0/AppIcon-0-1x_U007emarketing-0-0-85-220-0-10.png/230x0w.png,,Education
QR Code Comic Match,https://apps.apple.com/us/app/qr-code-comic-match/id1055046779,,,,"A fun puzzle matching game with a twist.
Solve the puzzle to reveal the QR Code. Scan the QR Code with the QRCodeComic app on you iPhone, iPad or iPod to reveal the answer.
Hours and hours of fun.

","American Software Solutions, Inc.",12 MB,English,4+,$0.99 ,25-Jun-16,https://is5-ssl.mzstatic.com/image/thumb/Purple122/v4/96/91/3e/96913efd-8d96-a73a-2877-fdba0ee144af/contsched.xihdfapv.lsr/313x0w.jpg,,Games
Qrish Space,https://apps.apple.com/us/app/qrish-space/id1481061561,,,,"1. Fighter plane control by tilt your device.
2. Tap anywhere start attack on enemies.
3. Shoot the enemies to grab the highest score.
4. Save life line counts by destroying the enemies. 

",Quadrish,1 MB,English,4+,Free,,https://is1-ssl.mzstatic.com/image/thumb/Purple123/v4/24/a4/0a/24a40a71-9191-6022-e294-3ca6c8e89249/AppIcon-0-1x_U007emarketing-0-0-GLES2_U002c0-512MB-sRGB-0-0-0-85-220-0-0-0-7.png/230x0w.png,,Games
