X - Multiply,https://apps.apple.com/us/app/x-multiply/id1289901227,,,Fast Math for All Ages,"Learn how to multiply quickly! Become an expert and advance from Easy Level --> Evil Level and you may never need your calculator again!Answer 5 questions in 20 seconds and compete with friends to see who is better at fast math! Get better each time you play and never stop multiplying!Please leave reviews! Good or bad to let us know how we can improve!
",Cory Silver,31.4 MB,"English, French, German, Italian, Simplified Chinese, Spanish, Traditional Chinese",4+,Free,"Oct 21, 2017",https://is2-ssl.mzstatic.com/image/thumb/Purple118/v4/7c/90/65/7c906523-5c45-c7a9-437a-5d02076b54f2/AppIcon-1x_U007emarketing-85-220-0-6.png/230x0w.png,,Games
X - Number Puzzle,https://apps.apple.com/us/app/x-number-puzzle/id1487298280,,,Connect Numbers with One Touch,"1. About this game“X” is a number puzzle game where players connect several numbers to make ""10"".- Numbers change by additionConnect numbers from 1 to 5 well! The score goes up when the sum of the connected numbers reaches ""10"".- Score up with a comboYou will get a combo bonus when you make “10” more than once within a time limit.Aim a combo with one touch!- Find a playing style that matches youDepending on the playing style you select, a time limit for tracing numbers will be extended, or the score will increase when special conditions are met.2. In-App Purchase Items- Remove AdThis item removes the ad.This software includes the works that are distributed in the Apache License 2.0.
",Masaru Kimura,34.2 MB,"English, Japanese",4+,Free,"Feb 18, 2020",https://is1-ssl.mzstatic.com/image/thumb/Purple114/v4/53/71/db/5371db3a-87ee-d636-825e-e58a0458601e/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/230x0w.png,Yes,Games
X and O,https://apps.apple.com/us/app/x-and-o/id700653440,4.0 ,5,,"X&O is the classic game of Tic-Tac-Toe. Test your skills against the AI, or play with a friend! Share your victories over Facebook or Twitter! Are you skilled enough to unlock the five achievements? Made by MuchoEdz. For videos, screenshots, and more games visit:www.muchedz.com 
",Nigel Speight,12.4 MB,English,4+,Free,,https://is4-ssl.mzstatic.com/image/thumb/Purple/v4/2c/b2/e9/2cb2e926-f844-a09c-9868-c1ec0e6016c8/mzl.hdivesff.png/230x0w.png,,Entertainment
X Army Commando Attack CS,https://apps.apple.com/us/app/x-army-commando-attack-cs/id1348153088,3.0 ,2,X Army Commando Attack CS,"X Army Commando Attack CS is the most lethal attack against any ground forces in this elite commando shooter game. In our survival missions military commando shooter or elite commando is on special mission to protect us from these terrorist squads. These military commandos are here to protect us from terrorists and also make free our country from these bad evils. Features •	Amazing latest selection of weapons.•	Excellent 3D City environment.•	Smooth and easy to handle controls.•	Free commando shooter action game.•	Great sound effects.•	Astonishing graphics.
",Nguyen Thi Giang,156.4 MB,English,17+,Free,"Feb 13, 2018",https://is2-ssl.mzstatic.com/image/thumb/Purple62/v4/bf/13/34/bf1334e2-ed14-81a2-129c-6da956f2b820/pr_source.jpg/230x0w.jpg,,Games
X Beans,https://apps.apple.com/us/app/x-beans/id980226893,4.2 ,34,,"X Beans the popular cross-removeal game,Free now.

Rule
Tapping an empty square will remove beans of same color in cross lines,while wrong tapping will lead to timing deduction. Try to remove the beans on the screen as many as possible.Don't forget use the items!

Hammer
A Hammer can remove all the left beans on the screen.
Search
Search can be used to prompt a grid for touching & erasing.
Cross remove
Cross remove can remove color beans at all four directions,without color matching.


      more
    
",Liu ShunE,77.6 MB,English,4+,Free,"Sep 15, 2020",https://is4-ssl.mzstatic.com/image/thumb/Purple114/v4/63/c6/bb/63c6bb0f-1851-4bc4-b90b-3eb062330360/AppIcon-1x_U007emarketing-0-7-0-85-220.png/230x0w.png,,Games
X Blocks,https://apps.apple.com/us/app/x-blocks/id1305610696,4.8 ,5.6K,Most Relaxing Puzzle Game,"X BLOCKS, a new and amazing relaxing block puzzle game that has been created JUST FOR ALL OF YOU. It is minimalistic, easy to play and also helps you to mentally refresh, reduce strain and increase positive feelings throughout the day. :)It’s a 10x10 block puzzle game that makes you both physically and mentally healthy for a blissful life. What is even better is that you can play it offline. - X BLOCKS FEATURES -• Free to play forever• Beautifully designed with elegance and minimalistic approach.• Multiple Game Modes to play in.• Simple and easy to play with No Time Limits.• Amazingly exciting to create higher scores.• Impeccably small install size so your storage space isn’t wasted.• Weekly, monthly and global leaderboards to constantly keep a check on your progress.• Sharing on social media to compete with friends and family.• In-app purchases to purchase powerups and keep going.- X BLOCKS REVIEWS -• IMPROVE FOCUS, LOGIC“I love this game. Makes me think and solve. Very good brain exercise. FUN!”• CHALLENGING“Very fun game that keeps your mind sharp.”• IT'S AMAZING LOVE IT WELL DONE“I’m so glad I have this game can spend hours on it well done.”• AWESOME!“If you need a game to distract you and give you satisfaction - this is it! Easily 5 STARS!”• LOTS OF FUN“As the years pass by I find things like this help with memory. Thanks!”• BEST GAME EVER“Totally hooked up on this game. Amazing game and fun to play anytime and anywhere.”- CONTACT US -Send us your queries and suggestions at ‘games@inspiredsquare.com’. We are always here to help.So let’s start making our life more colorful and fun by playing X Blocks for FREE. We hope you will love playing X BLOCKS.JOIN US ON FACEBOOKhttps://web.facebook.com/InspiredSquareFOLLOW US ON TWITTERhttps://twitter.com/InspiredSquareFOLLOW US ON INSTAGRAMhttps://www.instagram.com/squareinspiredPRIVACY POLICYhttp://www.inspiredsquare.com/games/privacy_policy.htmlTERMS of USEhttp://www.inspiredsquare.com/games/terms_service.htmlSUBSCRIPTIONS- The subscriptions in this game are auto-renewable. A subscription is valid for 1 month, 6 months or 12 months, depending on the subscription type selected.- Subscription will automatically renew unless auto-renew is turned off at least 24-hours before the end of the current period.- Subscriptions can be managed by the player and auto-renewal can be turned off by going to the player's Account Settings after purchase.- Payment will be charged to iTunes Account at confirmation of purchase.- Account will be charged for renewal within 24 hours prior to the end of the current period. The cost depends on the selected plan.Enjoy,X BLOCKS TEAM.
",Inspired Square FZE,268.4 MB,English,4+,Free,14 de jul. de 2020,https://is2-ssl.mzstatic.com/image/thumb/Purple124/v4/5e/35/84/5e3584ba-8505-6d41-5d1b-eb28bc6f4b88/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-85-220.png/230x0w.png,Yes,Games
X Bubble Mania : pop,https://apps.apple.com/us/app/x-bubble-mania-pop/id1008579203,,,,"How to play -  just tap on the game board where you want the ball to place. 

This is the must played bubble shooter. Make combinations of 3 or more bubbles to pop and drop your way to victory.

- Many levels of Challenging Puzzles!
- Exciting Animations and playful music!
- FREE updates with new puzzles and powers!


      more
    
",Jin Hua,111.3 MB,"English, Simplified Chinese",4+,Free,"Apr 5, 2016",https://is4-ssl.mzstatic.com/image/thumb/Purple49/v4/11/b4/99/11b499f4-7584-b142-e4f3-73bff82b8156/mzl.aibvdcix.jpg/230x0w.jpg,,Games
X Farm Garden Drop,https://apps.apple.com/us/app/x-farm-garden-drop/id1153599022,,,,"Switch and match the crops to win the level in given moveing, try to make more combos!Play this exciting and addictive X Farm Garden Drop! Have Fun!!!How to play:1. Match three or more same crops.2. Achieve the target to level up.Features: - 80 challenging levels.- 3 game modes.- Many game props.- Lovely UI and cool animation effects.- Easy and fun to play, but hard to master.
",Nguyen Dinh Duong,23.1 MB,English,4+,Free,"Sep 14, 2016",https://is3-ssl.mzstatic.com/image/thumb/Purple71/v4/51/6f/35/516f351f-d506-19c1-4187-5125a27cf0d2/pr_source.jpg/230x0w.jpg,,Games
X Fast Racing Highway City,https://apps.apple.com/us/app/x-fast-racing-highway-city/id1446670594,,,X Fast Racing Highway City,"X Fast Racing Highway City is a very interesting straight-line racing game. In the game there are cars ranging from classic city cars to powerful modern sports cars and limousines. Every car here has its own technical specifications and a unique engine sound. You can drive up the highway, or walk in the city streets.  If you are a great racer you can challenge the heavy traffic on the highway and enjoy the thrill of avoiding traffic. Start the engine, use nitrogen, chase as fast as possible.Features:- Customize your car- Play games anytime, anywhere- Real car physics effect- beautiful 3D graphics- Various epic cars- Various different challenging missions- can freely switch perspective.
",Nguyen Dang Quynh,219.9 MB,English,4+,Free,,https://is1-ssl.mzstatic.com/image/thumb/Purple118/v4/6b/5b/67/6b5b678d-d25d-926e-e159-48ad12d205cb/AppIcon-1x_U007emarketing-0-0-GLES2_U002c0-512MB-sRGB-0-0-0-85-220-0-0-0-9.png/230x0w.png,,Games
X Flip,https://apps.apple.com/us/app/x-flip/id1515764210,,,,"Show your opponents how good you arePlay a unique motor flip gamefocus on the excitement of the driver while fliping the motorcycletry to flip the engine over in case of failureProve your style and skillful driving to your opponent with different motor clothes.Improve your engine and make a difference to your opponents in the running tracks and jump to the highest.
",Atakan Erdeger,119.9 MB,English,4+,Free,,https://is5-ssl.mzstatic.com/image/thumb/Purple123/v4/51/57/c0/5157c03d-9396-92c5-3d36-0920227e0de7/AppIcon-1x_U007emarketing-0-7-0-85-220.png/230x0w.png,,Games
X Hunter Sniper,https://apps.apple.com/us/app/x-hunter-sniper/id1032941258,,,,"You are the X Hunter Sniper, your mission is shoot all the gender symbols moving on screen. 20 mission will challenge your shooting skills.Let download and play for free!How to play:1. Target the X symbols2. Pull the trigger button to shot4. Don't worry about the bullet, it's infinite5. 20 missions, become a legend hunter manThere are 3 different rifle weapons... Don't miss a single shot, try to shot them all.How to survive a sex attack?--If you got any problems with X Hunter Sniper Game, please leave your comment or send us an e-mail, we will do our best.
",Tuan Kieu Duc,11.9 MB,English,9+,Free,"Aug 15, 2016",https://is4-ssl.mzstatic.com/image/thumb/Purple62/v4/c7/3f/53/c73f5346-46ef-d17f-867a-f89db490fb0c/pr_source.png/230x0w.png,,Games
