Y Blocks,https://apps.apple.com/us/app/y-blocks/id1453837043,4.9 ,7,Fun and Relaxing Game,"Y Blocks is simple yet Addictive Puzzle Game! It is minimalistic and easy to play. You can enjoy it anywhere without network. Once you start playing, you will be addicted. So play free now and feel the addiction.- HOW TO PLAY -•	Create horizontal or vertical lines by placing blocks on the Grid.•	When the line completes, it will disappear.•	Color matching of blocks is not required.•	The more lines you clear, the higher your score will be.•	Survive for as long as you can to get a higher score.•	Game will be over if there is no room to place any more new blocks.- FEATURES -•	Auto save your progress to continue later•	No Time Limits• .    Minimalistic, Simple & Elegantly designed Game•	Various Multi-colored Blocks and Colorful Graphics So let’s start making our life more colorful and fun by playing Y Blocks.- EMAIL USSend us your queries and suggestions at ‘moga@ibexsolutions.net’. We are always here to help.Enjoy, Y BLOCKS TEAM.
",Inspired Square FZE,230.5 MB,English,4+,Free,"Sep 13, 2019",https://is4-ssl.mzstatic.com/image/thumb/Purple123/v4/17/23/3a/17233a2e-8db4-0a43-72df-300655b6842b/AppIcon-0-1x_U007emarketing-0-85-220-0-7.png/230x0w.png,Yes,Games
Y U Not Fly,https://apps.apple.com/us/app/y-u-not-fly/id863048636,4.8 ,5,,"Save the Troll Faces from Pony Land!!!They are waiting for you. Fully equipped with 12 characters, 7 gadgets and 3 boosts.Highly addictive Troll adventures Flappy bird style and more.
",SANDOR NAGY,29.3 MB,English,9+,Free,,https://is4-ssl.mzstatic.com/image/thumb/Purple4/v4/92/c6/eb/92c6eb40-1c0e-6072-c767-85ae92feb0de/mzl.jgkumful.png/230x0w.png,Yes,Games
Y2 Maths,https://apps.apple.com/us/app/y2-maths/id1442291724,,,,"Y2 Maths is an app that is aimed at kids aged 6-7 or UK schools year 2 equivalent. It follows the UK national curriculum from what your child should be learning at the start of the school year to the end of it. This will give a accurate representation of where your child is excelling or where they might need that extra help. Y2 Maths will help your child retain what they’re learning in the classroom while at home in a fun & colourful way. One of the many problems teachers face while teaching is: when children are learning by playing games but they can not translate it when given the same questions on paper. We use randomized interactive worksheets that progresses through levels & stages earning stars along the way making your child feel as if they are playing a game. While helping your child retain classroom & game learning. As you progress unlocking stars across different stages you are preparing them for SATs & the future. At Good Monkey Learning we hope Y2 Maths has bridges that gap with exam style questions with a fun and colourful environment.
",Good Monkey Learning ltd,114.2 MB,English,4+,Free,"May 5, 2019",https://is1-ssl.mzstatic.com/image/thumb/Purple123/v4/5b/b2/80/5bb280b8-5d6a-7f60-e053-df260c7ac3f3/AppIcon-0-1x_U007emarketing-0-85-220-0-7.png/230x0w.png,Yes,Education
Card AR,https://apps.apple.com/us/app/card-ar/id563751856,5.0 ,1,,"Dress up AR applicationStart the application, point your camera to Y2 name card we provide.The character will show up and you can change her clothes with customize option or move her anywhere you like by touching the screen.
","Y2 Co,.Ltd.",107.9 MB,English,4+,Free,"Oct 31, 2017",https://is5-ssl.mzstatic.com/image/thumb/Purple128/v4/fc/97/68/fc976848-5a38-8d6b-9b46-a4a4b8365e45/AppIcon-1x_U007emarketing-0-0-GLES2_U002c0-512MB-sRGB-0-0-0-85-220-0-0-0-5.png/230x0w.png,,Games
Y8 Football League,https://apps.apple.com/us/app/y8-football-league/id1124042258,4.5 ,361,,"The world’s most popular soccer game is now available for iOS. Y8 Football League allows you to compete with players all across the globe from those who are die-hard soccer fans to those who are just looking to have a fun competitive game on their mobile device.Unlock New Abilities!This just isn’t your ordinary point and shoot football game Y8 Football League takes the word legend to another meaning by giving your player the ability use various attacks and specials to fight. Want to use a flaming fist against your opponent to daze them? Go right on ahead, in fact, we encourage it! You have your choice of up to 8 different abilities so choose wisely and make sure to time your abilities!20 Different TeamsYou can play for over 20 different football teams from around the world to show that your favorite team is the best and if they don’t agree remember that there are 8 different special abilities to knock somesense into them!
",Y8,64.2 MB,"English, Czech, Dutch, French, German, Italian, Japanese, Korean, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese, Turkish",4+,Free,"Feb 8, 2017",https://is1-ssl.mzstatic.com/image/thumb/Purple122/v4/f1/92/98/f1929889-5c32-8ce7-4e10-fbbede1aa686/mzl.irabgnrm.png/230x0w.png,Yes,Games
Y8 Traffic Road,https://apps.apple.com/us/app/y8-traffic-road/id1198268979,3.8 ,4,,"Hit the road in the all-new racing game, Traffic Road. Pick your car and put your driving skills to the test. Speed down the traffic-filled streets, but make sure you don’t hit the other cars, or you’ll crash and burn!Complete a variety of fast-paced challenges in Career mode, drive as far as you can in an intense Time Trial mode, or see how long you can stay alive in the deadly Survival mode. Finally, relax and enjoy the game in the low-pressure Free Race mode to practice your skills.Will you play it safe and avoid the traffic? Or will you race as fast as you can and weave between cars for bonus points and combos? Earn as high a score as possible and see how you stack up against other players with the online leaderboards.FEATURES•	Four different exciting modes•	Multiple vehicles to unlock with increasingly higher speeds•	Special challenges and risky combos•	Online leaderboards•	12 challenging achievements to earnAre you ready to face the world and dodge the traffic in Traffic Road?
",Y8,97.1 MB,English,4+,Free,,https://is5-ssl.mzstatic.com/image/thumb/Purple111/v4/29/e3/4f/29e34f02-aebf-d52a-fa8d-c96378afefe4/pr_source.jpg/230x0w.jpg,Yes,Games
Ya Heard,https://apps.apple.com/us/app/ya-heard/id913194579,,,,"Power you memory, repeats the sequence of colors and sounds.  Challenge friends to determine who is the best.  
",DERICK DOWNS,6.7 MB,English,4+,Free,,https://is1-ssl.mzstatic.com/image/thumb/Purple4/v4/dc/1d/b4/dc1db40e-2287-e732-5eba-0fd8ef553f09/mzl.vgazbodk.png/230x0w.png,,Games
Yaadie Mosquito,https://apps.apple.com/us/app/yaadie-mosquito/id1500964410,5.0 ,1,Zap all the pesky mosquitos!!,"Time to take vengeance on all these pesky mosquitos that cause you grief. Use your trusty zapper and kill as many as possible.- Beat your high score and earn higher medals. - Tap the hearts to recover health before it expires.- Beware, the more you destroy, the harder they are to beat. Let's zap these mosquitoes away!!Gameplay: - Single tap kills the regular mosquitoes. - Multiple taps kill the Yaadie mosquitoes.Earn hearts and recover health.Each Yaadie mosquito increases your chances of scoring higher as you progress.
",IdleBum Entertainments Inc.,82.4 MB,English,4+,Free,,https://is4-ssl.mzstatic.com/image/thumb/Purple113/v4/30/aa/b1/30aab148-22b4-ba17-b4ad-0b80adc8516b/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/230x0w.png,,Games
YAAG,https://apps.apple.com/us/app/yaag/id933873559?mt=12,,,,"YAAG Yet Another Asteroids GameFree the galaxy! Shoot the asteroids and take care about the enemy sourcers. Start with any key, then move left/right und up to thrust. Press spacebar to fire, down for hyperspace. Watch out the enemy sourcers. Some will fire back.
",Claus-Software,3.5 MB,English,4+,$1.99,"Sep 19, 2017",https://is1-ssl.mzstatic.com/image/thumb/Purple118/v4/30/20/c6/3020c693-f517-7970-9864-eb469d662ca3/AppIcon-85-220-2x.png/230x0w.png,,Games
YAAG - Yet Another Asteroids Game,https://apps.apple.com/us/app/yaag-yet-another-asteroids-game/id1052611564,,,,"Yet Another Asteroids GameFree the galaxy! Shoot the asteroids and take care about the enemy sourcers. Move left and right, accelerate and fire. No frills.Watch out the enemy sourcers. Some will fire back.
",Claus-Software,12.2 MB,English,4+,$0.99,"Jul 18, 2016",https://is4-ssl.mzstatic.com/image/thumb/Purple118/v4/33/e7/2d/33e72d93-facf-dfc9-d3fd-218ac6c58a2a/contsched.qevdeqdd.lsr/313x0w.jpg,,Games
